Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index
hal,"[[13.033294724145359, 9.378036171465375], [10.812436528975061, 7.333482176096905], [5.489733355358886, 4.450440481303378]]",4.613402094011648,11,"[[19.083361084173212, 15.296176806144645], [16.342843990857105, 12.05120665522337], [7.260945975064979, 6.984477675349549]]",9.289693031863486,24,"[[15.672203133881847, 12.962862142804994], [13.769431615734272, 11.479744588189325], [5.838144820395793, 4.613018571852072]]",7.335966236352115,10,"[[18.106790054277386, 12.74216208026211], [14.942692247336158, 9.790246283150775], [8.831789959184778, 7.046242973807557]]",7.2241599962047065,18,"[[14.484209308930076, 11.095403857699294], [13.132805320544769, 9.361675642474188], [4.050732744003836, 3.954301732160276]]",6.334715195934752,15,"[[8.245100711408163, 10.806460296828913], [6.71189359335036, 8.9050478721748], [3.428431428141257, 4.856585306902318]]",4.6356722879587355,0
harsha,"[[1.6646364955456838, 5.997412874749037], [0.8086645697240076, 0.8878239481989395], [1.271732409492205, 5.831454112763659]]",3.44249376403472,0,"[[1.4017366526918862, 7.659846069832773], [1.0345461315890512, 1.0961082994664209], [0.7479464669960026, 7.428876331437297]]",6.032618137073428,11,"[[1.4402997390908674, 7.729239737661911], [0.9974120452970112, 1.2143103680089857], [0.8239746309497827, 7.569567383757383]]",4.403953248691795,6,"[[1.751785445739547, 5.986654437819146], [0.8870062061445164, 1.2202147689881213], [1.3383599961399222, 5.733094644720093]]",3.4275551110053533,3,"[[2.9462230507130145, 7.4997074170743305], [1.799770365086792, 1.862848080999863], [1.978834655486173, 7.106747379603774]]",4.27886583385867,13,"[[0.7994513539694059, 6.579896414585942], [0.31717725202002534, 1.0817172912458946], [0.6678305934989363, 6.412354102490742]]",3.8143005539107286,0
ishleen,"[[5.117285971923031, 9.152537091445199], [3.088125678419059, 4.09868288039966], [3.3718052427153884, 7.340458853760037]]",6.079130934485832,21,"[[2.385573382474351, 9.205697238573446], [0.9477214044334529, 2.250283531335206], [1.9269019231219053, 8.752760596155463]]",7.200963902926777,8,"[[3.2133838078177828, 9.89431494156813], [1.2055640306879196, 4.526010022667697], [2.80552021530872, 8.656743977482694]]",5.8818710028772125,20,"[[2.8947355460785578, 8.02128670997127], [1.3254632480020836, 2.6264570118109356], [2.275180229063152, 7.333747949463597]]",4.539330576526216,22,"[[4.735850152969038, 6.654349907601327], [3.005100268259311, 3.326531829972808], [2.955936734183681, 4.8448825116913365]]",4.226015802067659,14,"[[2.357364676163136, 10.847284832657916], [1.1983561156923765, 3.5941211523769367], [1.8325737925050651, 9.885115753252233]]",6.160912618214289,21
jenni,"[[1.5136254209077422, 1.4786375462237666], [0.987455200312709, 0.8300954844373234], [0.9539554771477696, 1.0457362377674777]]",0.8139569642587374,0,"[[1.8642426047695533, 2.0824452561897773], [1.2819771214014128, 1.3354798376152768], [1.0688875152584598, 1.3248273410937486]]",1.5688381698067386,0,"[[1.3707529470498636, 1.3801996234040816], [0.8836998103509127, 0.7921074176048399], [0.8582714943459145, 0.9488906111908411]]",0.7572991380713637,5,"[[2.4677575116172776, 2.501427565272693], [1.6440746068747856, 1.5939995785713017], [1.4531012612411471, 1.5442127889158195]]",1.3258338727134005,0,"[[2.5684200613751798, 2.496458534494796], [1.6312337073407064, 1.6316879139243752], [1.616240797426695, 1.5536202750031345]]",1.3833144161375628,10,"[[1.3379346916397872, 1.7298263918757932], [0.8148570726943085, 0.9677607635890745], [0.9114580908972121, 1.3020422997624694]]",0.9652020400845611,0
jiamu,"[[1.3706138788838813, 1.818758302219027], [0.6510216619180971, 0.8192747136135029], [1.1058356047472087, 1.412897153536939]]",1.043405320649313,2,"[[1.3180619752980496, 1.8903451279684447], [0.85005607757019, 0.8920481385904043], [0.8343977395860254, 1.5140809657554883]]",1.4866776536229773,4,"[[1.2734391770083746, 1.7869106141158513], [0.6976183801629867, 0.7402874701907709], [0.9190569992935153, 1.4914395032466703]]",1.0290621386352536,6,"[[2.744994957749388, 1.5723428116220806], [0.9130161949325012, 0.919901187173282], [2.453680330684417, 1.0871708522956982]]",0.8933016094146885,6,"[[2.1614587275492525, 2.4394376649385774], [1.2178646993459978, 1.2210747084701112], [1.530103379887931, 1.9063427241549444]]",1.4024357845747704,14,"[[1.534565654242918, 2.2921196813023013], [0.5104934324709476, 0.6566517585761665], [1.3956687863043888, 2.0876185708750628]]",1.3310118393584491,16
julianne,"[[1.6613757026165896, 2.1249184798245193], [1.2006025133785763, 1.3968610631505538], [0.9715269497203994, 1.3473060657503526]]",1.1799980943008685,1,"[[1.7852464641979067, 2.0026264051275797], [0.8914210722335363, 1.1162370145413636], [1.4216548046568924, 1.283454533000081]]",1.5754681997865376,4,"[[2.272573518030392, 2.523003314808631], [1.4876016998021524, 1.4294305216667114], [1.4539564920404648, 1.8541316214628771]]",1.4357266883732227,5,"[[1.9957372271070386, 2.178518680571019], [1.2171715830506258, 1.2306474363066846], [1.3554494476353292, 1.5999397181587753]]",1.2420929573298938,7,"[[2.8015588992526728, 3.2800937566355253], [1.4118408280201857, 1.462311093519121], [2.1297496472423414, 2.6555519454319274]]",1.6726963765508343,14,"[[1.988762099609285, 2.6921762521228114], [1.4108573857878495, 1.8173899234857267], [1.1748059499137957, 1.7984417840118088]]",1.448232689874669,0
kaiwen,"[[1.4302473903320714, 1.3010706455955308], [0.5859451621646584, 0.4153587124873632], [1.2359821693681623, 1.1627586174518156]]",0.7127310138863804,2,"[[1.181424114464803, 0.9751963990725329], [0.8280611426308967, 0.3666010760805602], [0.6941040525715717, 0.8348709095150783]]",0.7108356226057321,0,"[[0.7988510622926835, 0.6908591477216438], [0.5846621892321572, 0.4699778455921354], [0.42785869722529357, 0.4025589399170653]]",0.37545618534958203,4,"[[1.7607835574610537, 1.3562806534516296], [1.3360429719392768, 0.8368779358567167], [0.9392927450405446, 0.8934147372282373]]",0.720118825737604,1,"[[1.327678541785593, 1.2543508867558135], [0.8457043761501027, 0.7875003363321604], [0.8382928814651175, 0.798882748729404]]",0.6871990398307025,12,"[[1.2188463872671274, 1.4609085573983938], [0.2776819992338819, 0.653830849251468], [1.148864358824692, 1.1348286606800375]]",0.8007124397686446,0
kat,"[[1.6587494598497954, 1.6321308328950777], [0.7840522333045183, 0.7059590798017343], [1.3461751284226358, 1.369716102304163]]",0.9278448963715216,6,"[[1.9278065087880414, 1.6541768187862773], [0.9864387223024074, 1.0094977895042494], [1.4708544199282276, 1.0817957937607188]]",1.30616198395059,1,"[[1.6632092945240096, 1.5970239927877508], [1.1201514783862334, 0.9832540500097761], [1.0289724909303342, 1.0860678813327558]]",0.9188674791929784,6,"[[2.681047644958479, 2.531677985565752], [1.6815378419208704, 1.2870263186951567], [1.844874982427451, 1.9465475388641422]]",1.443961937331727,11,"[[2.759208775540088, 2.9630624394031573], [1.8051778943100318, 1.7361212327678257], [1.6844743596224898, 2.0776825985280034]]",1.684866987074767,13,"[[1.5181422659991244, 2.2059123524232453], [0.8551064958833705, 0.9797275329527798], [1.0468754786165513, 1.8018478729888792]]",1.2695164470608398,2
law,"[[2.92091159401132, 1.4793045089779029], [1.1847131700168936, 0.7966078965185837], [2.51064063356702, 1.0603638742537043]]",0.8214891730895544,0,"[[4.264021611408888, 1.7974583115617022], [1.2027843305757455, 0.8989779540376536], [4.01021312609261, 1.400144435657498]]",1.364633856494571,0,"[[2.886342224561406, 2.358446295062042], [1.2764998030858483, 1.317937208200355], [2.3313695758519373, 1.707370106857979]]",1.2699045699367588,3,"[[3.5729742563082065, 2.381864104941181], [1.6596496212517138, 1.243109994640398], [2.8874915375489025, 1.7419034454167441]]",1.2924399031819824,2,"[[4.347254824066468, 3.1907327543033235], [2.045126785016354, 1.8906959873894438], [3.4772678385881757, 2.1677532389925727]]",1.7306921763860081,12,"[[1.8373809670112697, 3.639336518629018], [0.622362819506782, 1.222099897595647], [1.6485612881750646, 3.2277795732774655]]",2.050316931135425,0
mansee,"[[1.4742881442401565, 1.526247961886356], [0.5027698929769616, 0.47068297251411745], [1.2690647143787963, 1.3519966823567238]]",0.8654042958562776,3,"[[2.3024328919952683, 2.362114696339496], [1.6353938079829784, 1.5842261098314552], [1.3561886192137633, 1.5079680510940214]]",1.8149705599794295,1,"[[1.799018209983696, 1.7841730518910248], [1.0685239976727918, 1.0550899112218093], [1.2033445781903285, 1.1999693660445625]]",0.9975909427933787,5,"[[1.998538104961038, 1.8936525748079602], [1.0667539059797098, 1.0651597366044732], [1.437049912177025, 1.3074635584561485]]",1.0759692876599372,6,"[[3.0688515769397715, 3.056570022699508], [1.9183449214301387, 1.9030547469639698], [1.9669393604419214, 1.9695779990584026]]",1.7073306514228248,13,"[[1.1864950890666592, 1.149905313041343], [0.6284468416080212, 0.6026872434921524], [0.8742030919196294, 0.8551783278853382]]",0.6476617291579126,2
